Fecha,Producto,Ventas
2025-06-25,Monitor 24 pulgadas,8
2023-04-01,Laptop Dell Inspiron,6
2025-08-20,Procesador Ryzen 5,14
2023-05-19,Laptop Dell Inspiron,10
2023-07-10,Tarjeta Gráfica RTX 4060,2
2024-07-22,Laptop Dell Inspiron,5
2025-07-23,Tarjeta Gráfica RTX 4060,5
2024-10-11,Tarjeta Gráfica RTX 4060,7
2023-05-24,Laptop Dell Inspiron,3
2023-09-09,Monitor 24 pulgadas,11
2023-10-28,Tarjeta Gráfica RTX 4060,5
2023-11-20,Procesador Ryzen 5,31
2023-12-04,Memoria RAM 16GB,14
2024-03-03,Procesador Ryzen 5,11
2025-02-26,Monitor 24 pulgadas,4
2025-06-11,Tarjeta Gráfica RTX 4060,3
2024-12-29,Laptop Dell Inspiron,3
2025-02-03,Memoria RAM 16GB,18
2026-03-01,Monitor 24 pulgadas,9
2023-12-18,Procesador Ryzen 5,22
2025-05-11,Laptop Dell Inspiron,3
2023-04-09,Laptop Dell Inspiron,7
2026-02-09,Laptop Dell Inspiron,3
2026-02-10,Memoria RAM 16GB,15
2025-12-31,Tarjeta Gráfica RTX 4060,3
2025-12-26,Procesador Ryzen 5,11
2025-03-19,Memoria RAM 16GB,14
2026-01-04,Memoria RAM 16GB,14
2025-05-25,Laptop Dell Inspiron,5
2023-06-18,Memoria RAM 16GB,17
2024-01-21,Memoria RAM 16GB,16
2024-02-23,Procesador Ryzen 5,11
2023-08-06,Tarjeta Gráfica RTX 4060,1
2024-07-25,Monitor 24 pulgadas,5
2023-04-25,Procesador Ryzen 5,8
2025-01-04,Tarjeta Gráfica RTX 4060,4
2023-07-05,Memoria RAM 16GB,15
2023-04-18,Procesador Ryzen 5,7
2023-04-12,Monitor 24 pulgadas,5
2023-10-12,Memoria RAM 16GB,14
2024-06-19,Memoria RAM 16GB,14
2024-09-18,Procesador Ryzen 5,6
2025-08-30,Procesador Ryzen 5,17
2025-06-05,Memoria RAM 16GB,17
2024-03-02,Memoria RAM 16GB,19
2026-01-15,Monitor 24 pulgadas,6
2023-08-30,Memoria RAM 16GB,21
2023-07-30,Procesador Ryzen 5,6
2026-02-28,Procesador Ryzen 5,12
2024-10-03,Monitor 24 pulgadas,5
2026-04-05,Memoria RAM 16GB,15
2025-12-08,Monitor 24 pulgadas,4
2025-01-15,Monitor 24 pulgadas,7
2024-06-15,Procesador Ryzen 5,12
2024-09-27,Laptop Dell Inspiron,8
2025-08-11,Memoria RAM 16GB,18
2023-07-31,Tarjeta Gráfica RTX 4060,3
2025-06-19,Monitor 24 pulgadas,4
2024-04-06,Memoria RAM 16GB,17
2025-09-27,Monitor 24 pulgadas,10
2024-03-11,Monitor 24 pulgadas,6
2023-09-16,Procesador Ryzen 5,10
2024-02-11,Laptop Dell Inspiron,4
2025-03-25,Laptop Dell Inspiron,5
2024-06-24,Memoria RAM 16GB,14
2025-04-20,Monitor 24 pulgadas,6
2024-09-05,Procesador Ryzen 5,9
2025-09-13,Procesador Ryzen 5,13
2026-02-17,Tarjeta Gráfica RTX 4060,3
2024-09-27,Memoria RAM 16GB,18
2025-08-22,Procesador Ryzen 5,17
2025-08-12,Procesador Ryzen 5,8
2023-06-19,Memoria RAM 16GB,14
2025-01-01,Monitor 24 pulgadas,6
2026-03-10,Laptop Dell Inspiron,5
2025-04-16,Memoria RAM 16GB,18
2025-06-18,Procesador Ryzen 5,8
2024-02-23,Laptop Dell Inspiron,10
2024-01-26,Procesador Ryzen 5,10
2024-11-01,Procesador Ryzen 5,14
2026-03-06,Laptop Dell Inspiron,6
2025-07-23,Memoria RAM 16GB,18
2024-11-18,Monitor 24 pulgadas,33
2024-10-10,Procesador Ryzen 5,10
2023-10-13,Tarjeta Gráfica RTX 4060,8
2025-06-13,Memoria RAM 16GB,19
2026-04-08,Procesador Ryzen 5,10
2026-02-16,Tarjeta Gráfica RTX 4060,3
2023-08-22,Monitor 24 pulgadas,17
2023-09-21,Memoria RAM 16GB,15
2025-08-12,Tarjeta Gráfica RTX 4060,1
2024-03-24,Laptop Dell Inspiron,3
2024-03-25,Memoria RAM 16GB,16
2025-06-25,Tarjeta Gráfica RTX 4060,1
2025-01-28,Procesador Ryzen 5,7
2025-03-08,Memoria RAM 16GB,17
2024-04-26,Procesador Ryzen 5,10
2025-09-15,Tarjeta Gráfica RTX 4060,4
2023-11-14,Laptop Dell Inspiron,7
2023-04-25,Memoria RAM 16GB,16
2024-03-21,Tarjeta Gráfica RTX 4060,3
2025-12-03,Tarjeta Gráfica RTX 4060,3
2023-04-07,Monitor 24 pulgadas,12
2026-01-11,Memoria RAM 16GB,18
2024-10-28,Laptop Dell Inspiron,4
2024-12-07,Tarjeta Gráfica RTX 4060,7
2025-09-09,Procesador Ryzen 5,10
2024-03-05,Laptop Dell Inspiron,2
2025-11-20,Tarjeta Gráfica RTX 4060,26
2025-09-21,Procesador Ryzen 5,8
2024-08-13,Tarjeta Gráfica RTX 4060,4
2025-05-22,Monitor 24 pulgadas,8
2023-04-08,Laptop Dell Inspiron,10
2024-09-11,Monitor 24 pulgadas,8
2023-12-09,Tarjeta Gráfica RTX 4060,4
2025-02-06,Procesador Ryzen 5,6
2023-05-05,Monitor 24 pulgadas,12
2024-07-28,Monitor 24 pulgadas,7
2024-03-27,Tarjeta Gráfica RTX 4060,2
2025-07-09,Laptop Dell Inspiron,6
2025-04-19,Procesador Ryzen 5,14
2024-05-11,Laptop Dell Inspiron,5
2024-05-20,Memoria RAM 16GB,15
2025-10-31,Memoria RAM 16GB,18
2025-01-13,Procesador Ryzen 5,8
2024-09-03,Laptop Dell Inspiron,17
2024-05-16,Memoria RAM 16GB,15
2026-04-02,Laptop Dell Inspiron,2
2023-04-12,Procesador Ryzen 5,10
2025-08-03,Procesador Ryzen 5,9
2025-01-23,Procesador Ryzen 5,11
2024-06-04,Memoria RAM 16GB,15
2023-10-01,Monitor 24 pulgadas,8
2024-11-15,Monitor 24 pulgadas,35
2023-05-21,Memoria RAM 16GB,13
2024-08-11,Tarjeta Gráfica RTX 4060,3
2024-01-29,Memoria RAM 16GB,18
2024-06-09,Procesador Ryzen 5,10
2023-06-16,Tarjeta Gráfica RTX 4060,7
2023-11-14,Procesador Ryzen 5,10
2024-07-28,Laptop Dell Inspiron,3
2024-11-30,Procesador Ryzen 5,37
2023-05-02,Laptop Dell Inspiron,4
2024-02-22,Laptop Dell Inspiron,3
2024-12-08,Procesador Ryzen 5,10
2024-03-20,Monitor 24 pulgadas,9
2025-09-01,Memoria RAM 16GB,19
2025-11-18,Monitor 24 pulgadas,31
2024-12-28,Tarjeta Gráfica RTX 4060,5
2025-01-16,Tarjeta Gráfica RTX 4060,4
2024-12-10,Memoria RAM 16GB,28
2023-08-20,Laptop Dell Inspiron,19
2025-06-20,Memoria RAM 16GB,16
2026-02-23,Monitor 24 pulgadas,8
2024-05-21,Tarjeta Gráfica RTX 4060,4
2023-09-10,Tarjeta Gráfica RTX 4060,4
2023-12-26,Memoria RAM 16GB,15
2025-05-23,Tarjeta Gráfica RTX 4060,4
2026-02-21,Monitor 24 pulgadas,11
2024-06-20,Tarjeta Gráfica RTX 4060,1
2023-06-23,Laptop Dell Inspiron,10
2025-03-01,Procesador Ryzen 5,13
2024-01-05,Monitor 24 pulgadas,9
2023-09-08,Procesador Ryzen 5,12
2025-08-18,Laptop Dell Inspiron,19
2024-02-12,Memoria RAM 16GB,18
2024-01-27,Laptop Dell Inspiron,9
2026-03-13,Memoria RAM 16GB,17
2024-09-23,Procesador Ryzen 5,9
2023-07-17,Tarjeta Gráfica RTX 4060,0
2023-07-12,Tarjeta Gráfica RTX 4060,3
2026-03-29,Laptop Dell Inspiron,7
2025-08-03,Laptop Dell Inspiron,7
2025-09-16,Laptop Dell Inspiron,2
2023-11-18,Memoria RAM 16GB,46
2025-02-25,Monitor 24 pulgadas,7
2023-12-04,Laptop Dell Inspiron,5
2024-07-09,Monitor 24 pulgadas,8
2024-10-27,Tarjeta Gráfica RTX 4060,2
2023-08-04,Monitor 24 pulgadas,12
2026-02-03,Procesador Ryzen 5,6
2024-11-10,Memoria RAM 16GB,14
2024-06-23,Tarjeta Gráfica RTX 4060,3
2023-11-21,Laptop Dell Inspiron,29
2024-11-21,Memoria RAM 16GB,39
2023-05-23,Procesador Ryzen 5,9
2024-12-08,Laptop Dell Inspiron,4
2023-08-31,Tarjeta Gráfica RTX 4060,6
2024-03-15,Monitor 24 pulgadas,11
2024-06-30,Laptop Dell Inspiron,7
2023-09-13,Tarjeta Gráfica RTX 4060,5
2025-05-01,Procesador Ryzen 5,10
2023-12-18,Monitor 24 pulgadas,24
2024-02-29,Memoria RAM 16GB,18
2024-09-01,Monitor 24 pulgadas,16
2023-05-26,Memoria RAM 16GB,20
2025-03-04,Tarjeta Gráfica RTX 4060,5
2025-01-03,Tarjeta Gráfica RTX 4060,3
2025-12-24,Procesador Ryzen 5,22
2024-06-21,Memoria RAM 16GB,17
2025-01-07,Monitor 24 pulgadas,4
2023-11-14,Monitor 24 pulgadas,7
2025-03-28,Laptop Dell Inspiron,9
2024-08-23,Laptop Dell Inspiron,22
2026-02-01,Tarjeta Gráfica RTX 4060,3
2024-12-28,Procesador Ryzen 5,11
2025-02-22,Monitor 24 pulgadas,8
2024-11-21,Tarjeta Gráfica RTX 4060,27
2024-12-06,Laptop Dell Inspiron,8
2023-06-03,Memoria RAM 16GB,20
2023-11-12,Procesador Ryzen 5,9
2023-11-28,Procesador Ryzen 5,35
2025-04-24,Memoria RAM 16GB,15
2024-06-28,Tarjeta Gráfica RTX 4060,8
2025-07-03,Procesador Ryzen 5,7
2024-04-23,Monitor 24 pulgadas,5
2026-03-31,Laptop Dell Inspiron,5
2024-09-24,Memoria RAM 16GB,13
2026-02-11,Laptop Dell Inspiron,6
2025-05-21,Laptop Dell Inspiron,2
2025-08-23,Tarjeta Gráfica RTX 4060,6
2024-06-13,Tarjeta Gráfica RTX 4060,2
2025-01-19,Laptop Dell Inspiron,4
2023-07-10,Monitor 24 pulgadas,9
2024-11-06,Tarjeta Gráfica RTX 4060,3
2026-03-20,Laptop Dell Inspiron,10
2024-01-12,Procesador Ryzen 5,13
2023-05-20,Tarjeta Gráfica RTX 4060,4
2025-10-27,Tarjeta Gráfica RTX 4060,3
2024-04-09,Memoria RAM 16GB,16
2024-05-14,Memoria RAM 16GB,17
2023-04-07,Laptop Dell Inspiron,10
2026-02-12,Procesador Ryzen 5,9
2024-09-16,Memoria RAM 16GB,18
2024-10-01,Laptop Dell Inspiron,4
2025-04-06,Laptop Dell Inspiron,5
2025-05-09,Laptop Dell Inspiron,7
2025-06-22,Memoria RAM 16GB,13
2025-01-21,Monitor 24 pulgadas,5
2023-05-31,Tarjeta Gráfica RTX 4060,4
2024-02-07,Memoria RAM 16GB,13
2025-09-13,Laptop Dell Inspiron,9
2024-04-21,Laptop Dell Inspiron,4
2023-07-20,Monitor 24 pulgadas,6
2023-06-24,Laptop Dell Inspiron,10
2026-02-27,Monitor 24 pulgadas,8
2024-09-03,Memoria RAM 16GB,19
2023-12-20,Laptop Dell Inspiron,19
2025-12-20,Procesador Ryzen 5,27
2024-10-07,Tarjeta Gráfica RTX 4060,4
2025-04-23,Monitor 24 pulgadas,9
2024-03-02,Monitor 24 pulgadas,10
2023-12-31,Procesador Ryzen 5,7
2025-07-13,Tarjeta Gráfica RTX 4060,4
2024-05-18,Monitor 24 pulgadas,12
2024-05-27,Monitor 24 pulgadas,6
2023-05-22,Laptop Dell Inspiron,5
2025-07-12,Monitor 24 pulgadas,12
2023-08-18,Procesador Ryzen 5,13
2025-12-07,Monitor 24 pulgadas,7
2023-07-20,Laptop Dell Inspiron,4
2025-12-29,Laptop Dell Inspiron,4
2025-02-02,Procesador Ryzen 5,6
2026-02-24,Memoria RAM 16GB,17
2025-10-15,Monitor 24 pulgadas,4
2023-08-29,Tarjeta Gráfica RTX 4060,5
2024-12-09,Procesador Ryzen 5,9
2024-03-13,Monitor 24 pulgadas,7
2023-12-27,Monitor 24 pulgadas,6
2025-02-05,Tarjeta Gráfica RTX 4060,5
2024-06-26,Tarjeta Gráfica RTX 4060,0
2023-05-01,Memoria RAM 16GB,14
2024-04-11,Procesador Ryzen 5,6
2024-06-14,Monitor 24 pulgadas,10
2025-01-01,Procesador Ryzen 5,7
2023-05-23,Tarjeta Gráfica RTX 4060,2
2023-06-26,Monitor 24 pulgadas,8
2024-09-26,Tarjeta Gráfica RTX 4060,3
2024-01-13,Monitor 24 pulgadas,11
2023-06-11,Monitor 24 pulgadas,7
2025-12-26,Laptop Dell Inspiron,8
2023-07-31,Procesador Ryzen 5,11
2024-08-10,Procesador Ryzen 5,9
2023-07-15,Memoria RAM 16GB,19
2025-07-02,Laptop Dell Inspiron,4
2024-03-17,Monitor 24 pulgadas,6
2026-01-27,Monitor 24 pulgadas,5
2024-12-17,Memoria RAM 16GB,28
2025-01-16,Monitor 24 pulgadas,9
2025-05-26,Tarjeta Gráfica RTX 4060,2
2024-11-06,Laptop Dell Inspiron,5
2026-03-24,Tarjeta Gráfica RTX 4060,0
2024-02-21,Memoria RAM 16GB,16
2023-06-16,Procesador Ryzen 5,10
2024-03-29,Tarjeta Gráfica RTX 4060,5
2024-06-12,Laptop Dell Inspiron,6
2024-05-01,Laptop Dell Inspiron,2
2025-02-19,Memoria RAM 16GB,13
2023-09-30,Laptop Dell Inspiron,7
2023-12-31,Monitor 24 pulgadas,9
2025-08-04,Memoria RAM 16GB,16
2025-10-30,Monitor 24 pulgadas,4
2023-07-07,Procesador Ryzen 5,12
2023-12-25,Monitor 24 pulgadas,7
2025-10-08,Procesador Ryzen 5,10
2024-03-13,Laptop Dell Inspiron,3
2023-07-19,Laptop Dell Inspiron,3
2024-10-05,Tarjeta Gráfica RTX 4060,3
2023-07-21,Monitor 24 pulgadas,11
2026-01-06,Laptop Dell Inspiron,7
2025-12-26,Tarjeta Gráfica RTX 4060,3
2024-09-04,Memoria RAM 16GB,21
2024-06-27,Tarjeta Gráfica RTX 4060,4
2026-03-01,Procesador Ryzen 5,9
2023-08-02,Procesador Ryzen 5,7
2025-05-05,Monitor 24 pulgadas,9
2024-01-25,Procesador Ryzen 5,8
2025-01-27,Tarjeta Gráfica RTX 4060,1
2026-01-28,Tarjeta Gráfica RTX 4060,3
2024-03-04,Tarjeta Gráfica RTX 4060,5
2023-10-27,Laptop Dell Inspiron,7
2025-10-18,Tarjeta Gráfica RTX 4060,3
2025-04-17,Monitor 24 pulgadas,6
2024-05-31,Procesador Ryzen 5,10
2024-12-05,Laptop Dell Inspiron,2
2024-09-10,Procesador Ryzen 5,8
2024-08-30,Monitor 24 pulgadas,21
2025-03-23,Tarjeta Gráfica RTX 4060,1
2024-09-23,Monitor 24 pulgadas,7
2024-06-14,Laptop Dell Inspiron,5
2024-08-02,Monitor 24 pulgadas,12
2024-08-18,Laptop Dell Inspiron,14
2025-05-07,Memoria RAM 16GB,13
2025-01-09,Tarjeta Gráfica RTX 4060,3
2023-05-04,Memoria RAM 16GB,13
2024-09-20,Monitor 24 pulgadas,11
2023-10-03,Memoria RAM 16GB,13
2023-10-13,Laptop Dell Inspiron,6
2026-03-05,Monitor 24 pulgadas,6
2023-05-28,Tarjeta Gráfica RTX 4060,0
2024-01-16,Memoria RAM 16GB,18
2024-04-03,Laptop Dell Inspiron,5
2023-05-05,Laptop Dell Inspiron,6
2025-02-17,Monitor 24 pulgadas,5
2024-11-18,Tarjeta Gráfica RTX 4060,28
2025-11-18,Procesador Ryzen 5,35
2025-10-28,Monitor 24 pulgadas,7
2023-11-01,Tarjeta Gráfica RTX 4060,4
2025-01-09,Procesador Ryzen 5,8
2023-08-30,Tarjeta Gráfica RTX 4060,8
2023-05-24,Tarjeta Gráfica RTX 4060,1
2023-07-18,Laptop Dell Inspiron,7
2024-01-07,Memoria RAM 16GB,18
2024-01-28,Tarjeta Gráfica RTX 4060,1
2024-08-21,Memoria RAM 16GB,21
2024-06-03,Laptop Dell Inspiron,7
2024-08-17,Monitor 24 pulgadas,19
2025-04-22,Laptop Dell Inspiron,5
2024-09-16,Tarjeta Gráfica RTX 4060,2
2024-10-22,Monitor 24 pulgadas,7
2024-10-18,Memoria RAM 16GB,18
2025-07-04,Memoria RAM 16GB,21
2024-07-31,Procesador Ryzen 5,11
2025-01-18,Tarjeta Gráfica RTX 4060,5
2024-10-18,Procesador Ryzen 5,10
2025-01-15,Procesador Ryzen 5,6
2024-07-12,Memoria RAM 16GB,21
2026-02-01,Laptop Dell Inspiron,4
2023-11-09,Memoria RAM 16GB,13
2025-10-17,Memoria RAM 16GB,19
2024-12-16,Procesador Ryzen 5,24
2025-01-11,Procesador Ryzen 5,9
2023-07-29,Laptop Dell Inspiron,9
2024-07-07,Monitor 24 pulgadas,6
2024-06-30,Procesador Ryzen 5,9
2024-12-15,Laptop Dell Inspiron,21
2023-06-26,Memoria RAM 16GB,16
2024-03-02,Procesador Ryzen 5,11
2024-09-04,Laptop Dell Inspiron,18
2024-01-24,Memoria RAM 16GB,17
2024-07-03,Tarjeta Gráfica RTX 4060,5
2024-01-28,Memoria RAM 16GB,14
2024-04-01,Laptop Dell Inspiron,3
2024-06-23,Laptop Dell Inspiron,7
2023-10-13,Procesador Ryzen 5,10
2023-04-03,Memoria RAM 16GB,14
2024-06-18,Procesador Ryzen 5,8
2023-07-31,Memoria RAM 16GB,18
2023-12-02,Laptop Dell Inspiron,5
2025-11-25,Laptop Dell Inspiron,30
2025-08-19,Procesador Ryzen 5,12
2024-03-30,Procesador Ryzen 5,10
2024-03-15,Laptop Dell Inspiron,6
2025-01-01,Laptop Dell Inspiron,3
2025-10-12,Laptop Dell Inspiron,5
2025-09-18,Laptop Dell Inspiron,4
2025-05-19,Memoria RAM 16GB,15
2026-02-02,Procesador Ryzen 5,9
2025-08-15,Laptop Dell Inspiron,20
2023-05-16,Laptop Dell Inspiron,4
2025-04-03,Tarjeta Gráfica RTX 4060,2
2024-11-12,Tarjeta Gráfica RTX 4060,0
2025-05-22,Procesador Ryzen 5,7
2024-05-04,Procesador Ryzen 5,13
2024-10-20,Laptop Dell Inspiron,5
2025-09-09,Tarjeta Gráfica RTX 4060,3
2025-01-15,Tarjeta Gráfica RTX 4060,5
2024-09-15,Memoria RAM 16GB,15
2024-12-16,Monitor 24 pulgadas,24
2025-05-01,Tarjeta Gráfica RTX 4060,1
2025-07-14,Memoria RAM 16GB,13
2023-09-19,Procesador Ryzen 5,10
2023-08-01,Laptop Dell Inspiron,2
2025-05-16,Monitor 24 pulgadas,7
2024-05-12,Laptop Dell Inspiron,4
2025-05-29,Memoria RAM 16GB,16
2024-01-15,Memoria RAM 16GB,14
2024-07-02,Memoria RAM 16GB,14
2025-10-12,Procesador Ryzen 5,8
2024-09-19,Procesador Ryzen 5,9
2025-11-01,Monitor 24 pulgadas,9
2024-11-03,Laptop Dell Inspiron,7
2025-01-07,Tarjeta Gráfica RTX 4060,4
2025-06-01,Memoria RAM 16GB,16
2024-10-08,Tarjeta Gráfica RTX 4060,3
2025-10-02,Monitor 24 pulgadas,4
2025-08-29,Procesador Ryzen 5,12
2025-02-14,Memoria RAM 16GB,20
