Fecha,Producto,Ventas
2024-07-29,Hardware: Memoria RAM DDR4,2
2024-08-06,Hardware: SSD 480 GB,1
2024-08-19,Hardware: Display / Pantalla,1
2024-08-20,Hardware: Memoria RAM DDR4,1
2024-08-20,Hardware: SSD 240 GB,1
2024-08-21,Hardware: SSD 240 GB,1
2024-08-21,Hardware: SSD 480 GB,1
2024-08-21,Hardware: Memoria RAM DDR4,1
2024-08-21,Hardware: SSD 1 TB,1
2024-08-26,Hardware: SSD 240 GB,1
2024-08-31,Hardware: SSD 1 TB,1
2024-09-02,Hardware: Display / Pantalla,1
2024-09-11,Hardware: Display / Pantalla,1
2024-09-13,Hardware: SSD 240 GB,1
2024-09-18,Hardware: SSD 240 GB,1
2024-09-20,Hardware: Fuente de Poder,1
2024-09-26,Hardware: Display / Pantalla,1
2024-09-30,Hardware: Memoria RAM DDR4,1
2024-09-30,Hardware: SSD 240 GB,1
2024-10-10,Hardware: SSD 480 GB,1
2024-10-10,Hardware: SSD 240 GB,1
2024-10-11,Hardware: Memoria RAM DDR4,1
2024-10-31,Hardware: SSD 240 GB,1
2024-11-04,Hardware: SSD 480 GB,1
2024-11-06,Hardware: Teclado,1
2024-11-26,Hardware: Memoria RAM DDR4,1
2024-11-26,Hardware: SSD 480 GB,1
2024-11-29,Hardware: SSD 240 GB,2
2024-12-12,Hardware: Memoria RAM DDR4,4
2024-12-12,Hardware: SSD 480 GB,4
2024-12-12,Hardware: Teclado,1
2025-01-06,Hardware: SSD 480 GB,1
2025-01-06,Hardware: Memoria RAM DDR4,1
2025-01-07,Hardware: SSD 480 GB,1
2025-01-07,Hardware: Fuente de Poder,1
2025-01-07,Hardware: Memoria RAM DDR4,1
2025-01-08,Hardware: Display / Pantalla,1
2025-01-09,Hardware: SSD 480 GB,1
2025-01-09,Hardware: Teclado,1
2025-01-16,Hardware: Memoria RAM DDR4,1
2025-01-17,Hardware: Display / Pantalla,2
2025-01-20,Hardware: Display / Pantalla,1
2025-01-27,Hardware: SSD 480 GB,1
2025-01-30,Hardware: Memoria RAM DDR4,1
2025-01-31,Hardware: SSD 240 GB,1
2025-01-31,Hardware: Teclado,1
2025-02-04,Hardware: Teclado,1
2025-02-13,Hardware: Memoria RAM DDR4,1
2025-02-19,Hardware: Teclado,1
2025-03-20,Hardware: SSD 240 GB,1
2025-03-24,Hardware: SSD 480 GB,1
2025-04-02,Hardware: Display / Pantalla,2
2025-04-02,Hardware: Memoria RAM DDR4,1
2025-04-28,Hardware: SSD M.2 (Bajo Pedido),1
2025-05-09,Hardware: Display / Pantalla,1
2025-05-14,Hardware: SSD 480 GB,1
2025-05-21,Hardware: Memoria RAM DDR4,241
2025-05-28,Hardware: Memoria RAM DDR4,1
2025-05-29,Hardware: Memoria RAM DDR4,1
2025-05-31,Hardware: Memoria RAM DDR4,1
2025-06-16,Hardware: SSD 240 GB,1
2025-06-20,Hardware: Teclado,1
2025-06-28,Hardware: Display / Pantalla,1
2025-07-08,Hardware: SSD 240 GB,2
2025-07-08,Hardware: SSD 480 GB,2
2025-07-14,Hardware: SSD 240 GB,1
2025-07-19,Hardware: SSD 240 GB,1
2025-07-29,Hardware: Display / Pantalla,1
2025-07-29,Hardware: SSD 240 GB,1
2025-07-29,Hardware: Teclado,1
2025-07-30,Hardware: Memoria RAM DDR4,1
2025-08-18,Hardware: Memoria RAM DDR4,1
2025-08-18,Hardware: SSD 480 GB,1
2025-08-21,Hardware: Fuente de Poder,1
2025-08-21,Hardware: SSD 480 GB,1
2025-08-25,Hardware: SSD 480 GB,1
2025-08-25,Hardware: Memoria RAM DDR4,1
2025-08-28,Hardware: Display / Pantalla,1
2025-09-01,Hardware: Teclado,1
2025-09-08,Hardware: Display / Pantalla,1
2025-09-08,Hardware: SSD 480 GB,1
2025-09-09,Hardware: SSD 240 GB,1
2025-09-09,Hardware: Teclado,1
2025-09-12,Hardware: Memoria RAM DDR4,3
2025-09-12,Hardware: SSD 240 GB,3
2025-09-12,Hardware: Teclado,1
2025-09-19,Hardware: SSD 240 GB,1
2025-09-20,Hardware: Fuente de Poder,1
2025-09-30,Hardware: Memoria RAM DDR4,1
2025-10-03,Hardware: Memoria RAM DDR4,1
2025-10-03,Hardware: Display / Pantalla,1
2025-10-07,Hardware: SSD 240 GB,1
2025-10-14,Hardware: SSD 480 GB,1
2025-10-20,Hardware: SSD 240 GB,1
2025-11-05,Hardware: SSD 1 TB,1
2025-11-09,Hardware: SSD 240 GB,1
2025-11-10,Hardware: Memoria RAM DDR4,1
2025-11-10,Hardware: SSD 240 GB,1
2025-11-11,Hardware: Display / Pantalla,1
2025-11-11,Hardware: SSD 480 GB,1
2025-12-08,Hardware: Fuente de Poder,1
2025-12-08,Hardware: Memoria RAM DDR4,1
2025-12-08,Hardware: SSD 480 GB,1
2025-12-09,Hardware: SSD 480 GB,1
2025-12-20,Hardware: SSD 1 TB,1
2025-12-20,Hardware: Teclado,1
2025-12-29,Hardware: Display / Pantalla,1
2025-12-30,Hardware: Display / Pantalla,2
2025-12-31,Hardware: Fuente de Poder,1
2026-01-06,Hardware: Fuente de Poder,1
2026-01-15,Hardware: Display / Pantalla,1
2026-01-19,Hardware: Memoria RAM DDR4,1
2026-01-19,Hardware: SSD 240 GB,1
2026-01-20,Hardware: Memoria RAM DDR4,1
2026-01-23,Hardware: Display / Pantalla,1
2026-01-23,Hardware: SSD 480 GB,1
2026-01-30,Hardware: Fuente de Poder,1
